자료생성년월,사업장명,사업자등록번호,사업장가입상태코드,사업장도로명상세주소,사업장지번상세주소,법정동주소광역시도코드,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,신규취득자수,상실가입자수
2026-07,한국부동산원,120810,1,대구광역시 동구 이노밸리로,대구광역시 동구 신서동,27,741300,시장 조사 및 여론 조사업,1988-01-01,,,1266,101,7
2026-07,신용보증기금,105820,1,대구광역시 동구 첨단로,대구광역시 동구 신서동,27,659900,기타 금융 투자업,1988-01-01,,,3026,6,33
2026-07,(주)와이엠에스에이,110812,1,대구광역시 수성구 달구벌대로,대구광역시 수성구 만촌동,27,172101,침구 및 관련제품 제조업,1988-01-01,,,14,0,0
2026-07,동서기연(주),116813,1,대구광역시 동구 송라로,대구광역시 동구 신천동,27,749100,고용 알선업,1988-01-01,,,4,0,0
2026-07,한국가스공사,120820,1,대구광역시 동구 첨단로,대구광역시 동구 신서동,27,402001,연료용 가스 제조 및 배관공급업,1988-01-01,,,4334,286,23
2026-07,한국지능정보사회진흥원,135820,1,대구광역시 동구 첨단로,대구광역시 동구 신서동,27,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,1988-01-01,,,703,32,10
2026-07,(주)이수페타시스,514811,1,대구광역시 달성군 논공읍 논공로53길,대구광역시 달성군 논공읍,27,321000,기타 반도체 소자 제조업,1988-01-01,,,1473,13,9
2026-07,(주)삼성라이온즈,504810,1,대구광역시 수성구 야구전설로,대구광역시 수성구 연호동,27,924101,그 외 기타 스포츠 서비스업,1988-01-01,,,52,1,0
2026-07,갑을합섬(주),503811,1,대구광역시 서구 평리로17길,대구광역시 서구 중리동,27,171109,화학섬유직물 직조업,1988-02-01,,,9,0,0
2026-07,대한방직(주)대구공장,514850,1,대구광역시 서구 염색공단로,대구광역시 서구 비산동,27,171200,직물  편조 원단 및 의복류 염색 가공업,1988-01-01,,,209,1,7
2026-07,남양금속(주),514810,1,대구광역시 달성군 논공읍 논공로53길,대구광역시 달성군 논공읍,27,343000,그 외 자동차용 신품 부품 제조업,1990-01-01,,,282,1,3
