산업,기업 수,집계 대상 기업 수,고용 인원,평균 고용,1~9인,10~49인,50~299인,300인 이상,전월 대비 고용,전월 대비 %,전년 동월 대비 고용,전년 동월 대비 %,신규 등록 기업,폐업·탈퇴 기업,신규취득,상실
로봇,113,70,2312,33.0,34,33,1,2,,,,,1,0,70,26
자동차·부품,966,549,27697,50.4,141,289,98,17,,,,,2,2,563,477
의료·바이오,370,149,4736,31.8,62,66,19,2,,,,,0,0,107,87
소프트웨어·IT,639,555,8617,15.5,361,169,22,2,,,,,1,0,311,304
섬유·패션,1709,604,9125,15.1,278,296,22,1,,,,,0,2,200,229
전기·전자,1331,632,19882,31.5,306,267,46,9,,,,,0,2,530,366
화학·에너지,811,359,23030,64.2,170,160,18,8,,,,,0,0,1119,247
식품,472,231,3884,16.8,105,111,13,0,,,,,0,0,153,142
기계·금속,4260,1675,34816,20.8,755,788,100,9,,,,,1,12,887,920
기타 제조,1266,597,9768,16.4,328,230,34,1,,,,,0,2,219,241
기타 서비스,1444,480,9360,19.5,262,177,26,3,,,,,0,5,252,233
전체,13381,5901,153227,26.0,2802,2586,399,54,,,,,5,25,4411,3272

기준 2026-07 · 고용 인원 = 국민연금 가입자수 · 집계 대상 = 고용 값이 있는 기업 · 빈칸 = 자료 없음
