name,sector,source,as_of
( 주)미래조명,전기 가스 증기 및 수도사업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
( 주)새한건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
( 주)이끌림디자인,건설업|제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
((주)공간이룸,제조업|전문직별 공사업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(DJ)디제이테크,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(JS)영상팩,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(LED)네트웍스,예술 스포츠 및 여가관련 서비스업|도매 및 소매업|정보통신업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(MBC)아카데미뷰티미용학원,교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(과초산 제조업) 오리온신물질,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(복)아시아복지재단,보건업 및 사회복지 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(사)지식플러스교육연구소,교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(사)한국문화공동체비.오.케이,예술 스포츠 및 여가관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(사)한국장애인기업협회 자활센터,전문 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(사)한국장애인문화협회 자활센터,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(사)한국지체장애인협회 달성군장애인재활자립작업장,고무 및 플라스틱제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(수)수라인푸드,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(유)가일케어홀딩스,사회복지 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(유)대구특수금속,그 밖의 제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(유)한성산업,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(자)대한소방,건설업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(자)동성전업,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(자)삼우전자통신,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주 )리빙케어,의료 정밀 광학기기 및 시계 제조업|제조업|전자부품 컴퓨터 영상 음향 및 통신장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주),제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) S-Tech,전기장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 감미,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 건축사사무소두인,건축 기술 엔지니어링 및 기타 과학기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 경북관광,운수업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 구정기업,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 나경교육,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 다산침장,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 다올 이노베이션,제조업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 다윗,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 대명건업,전문직별 공사업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 대양,1차 금속 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 대흥그린에너지,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 도탁운수,운수 및 창고업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 동일웰텍,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 두손,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 라온 엔터테인먼트,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
