id,name,complex,district,eupmyeon,sector_code,sector,sector_group,product,workers_band,workers,reg_type,first_registered,mfg_area_band,address,sites,source,as_of
c9167,(사)한국지체장애인협회 달성군장애인재활자립작업장,개별입지,달성군,논공읍,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 4 종",고무·플라스틱,종량제봉투,10~49명,36,,,,대구광역시 달성군 논공읍 논공로 242 (달성장애인복지관),1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c0512,(사)한국척수장애인협회디지털사업단,개별입지,동구,,18111,경 인쇄업,기타,인쇄물,1~9명,5,,,,"대구광역시 동구 첨단로 30, 113호, 114호 (신서동)",1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c5190,(자)삼우전자통신,개별입지,수성구,,26421,방송장비 제조업 외 3 종,전자,보안용카메라 외,1~9명,3,,,,대구광역시 수성구 만촌로 59(만촌동),1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c0584,(주) 제이드 청포도,개별입지,서구,,14192,"근무복, 작업복 및 유사의복 제조업 외 15 종",기타,의류,10~49명,19,,,,대구광역시 서구 서대구로 351(비산동),1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c0090,(주)1프로더마톨리지글로벌,개별입지,중구,,18111,경 인쇄업,기타,"프린트인쇄, 마스터제판인쇄",1~9명,2,,,,"대구광역시 중구 명륜로6길 7-18, 1층 (남산동)",1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c2647,(주)G.M식품,개별입지,북구,,10121,가금류 가공 및 저장 처리업,식품,계육,1~9명,1,,,,대구광역시 북구 노원로47길 20 (침산동),1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c9059,(주)가온하이텍,개별입지,달성군,논공읍,30320,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품,자동차부품,10~49명,16,,,,대구광역시 달성군 논공읍 비슬로262길 113 / 대구광역시 달성군 옥포읍 신당1길 15-22,2,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c11092,(주)감로파인케미칼,개별입지,군위군,효령면,19221,윤활유 및 그리스 제조업,기타,"윤활유, 그리이스",10~49명,20,,,,대구광역시 군위군 효령면 중리길 20-23,1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c0069,(주)강경숙칠판,개별입지,중구,,32091,금속 가구 제조업 외 7 종,기타,"칠판, 보드",1~9명,5,,,,대구광역시 중구 종로 102 (태평로2가),1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c2603,(주)강산씨앤씨,개별입지,남구,,33910,간판 및 광고물 제조업,기타,"안내판, 문자채널, 조형물",1~9명,5,,,,"대구광역시 남구 대명로36길 23-1, 2층 (대명동)",1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
c10032,(주)강산조경건설,개별입지,달성군,옥포면,33302,놀이터용 장비 제조업 외 3 종,기타,놀이터 시설물외 목재시설물,1~9명,7,,,,대구광역시 달성군 옥포면 원전1길 40,1,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
