name,type,location,completed,area_km2,firms,sites,workers,main_sectors,source,as_of
성서지방산업단지,일반산단,달서구·달성군 다사읍,,,3261,3599,53514,기계·금속가공,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
서대구일반산업단지,일반산단,서구,,,1594,1653,13656,섬유·금속가공,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구제3일반산업단지,일반산단,북구,,,1200,1295,8077,금속가공·기계,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
북구검단일반산업단지,일반산단,북구,,,577,607,5784,기계·금속가공,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구염색일반산업단지,일반산단,서구,,,157,161,5825,섬유·화학,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구인쇄출판밸리,일반산단,북구,,,136,143,968,전자·의료·정밀,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구이시아폴리스일반산업단지,일반산단,동구,,,54,57,1656,기계·자동차부품,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구금호워터폴리스일반산업단지,일반산단,북구,,,36,36,557,기계·전기장비·전자,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구국가산업단지,국가산단,달성군 구지면,,,267,280,11534,자동차부품·기계,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구테크노폴리스일반산업단지,일반산단,달성군 유가읍·현풍읍,,,125,145,14961,기계·자동차부품·전기장비,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
성서5차첨단산업단지,일반산단,달성군 다사읍,,,113,119,4873,기계·전기장비·의료·정밀,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
달성일반산업단지,일반산단,달성군 논공읍,,,315,345,16803,섬유·자동차부품·고무·플라스틱,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
달성2차일반산업단지,일반산단,달성군 구지면,,,303,321,5232,기계·자동차부품·금속가공,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구옥포농공단지,농공단지,달성군 옥포읍,,,64,64,600,섬유·고무·플라스틱,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구구지농공단지,농공단지,달성군 구지면,,,27,28,546,식품·섬유,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
군위농공단지,농공단지,군위군,,,54,55,765,섬유·고무·플라스틱·전기장비,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
군위효령농공단지,농공단지,군위군,,,15,16,207,섬유·기계·전기장비,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구연구개발특구,연구개발특구,달성군·동구,,,130,142,4413,의료·정밀·기계·전자,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구경북경제자유구역수성의료지구,경제자유구역,수성구,,,47,48,2204,,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
대구경북첨단의료복합단지도시첨단산업단지,첨복단지,동구,,,4,4,24,의료·정밀,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
달성외국인투자지역,외국인투자지역,달성군 구지면,,,6,6,139,비금속광물·전기장비·자동차부품,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
개별입지,개별입지(산단 외),대구 전역,,,2689,2796,25331,금속가공·기계,"팩토리온 전국(개별,계획) 입주업체현황",2026-08
