id,name,district,complex,status,reason,candidates
c10216,(주)건영,달성군,개별입지,hq_elsewhere,본사 타지역: (주)건영(서울특별시 서초구),(주)건영[00100957] 서울특별시 서초구
c11142,(주)경보,군위군,개별입지,hq_elsewhere,본사 타지역: 주식회사 경보(경기도 화성군); 주식회사 경보(경기도 화성시); (주)경보(경상남도 김해시),주식회사 경보[00101655] 경기도 화성군 | 주식회사 경보[00200354] 경기도 화성시 | (주)경보[01297126] 경상남도 김해시
c3019,(주)고려금속,북구,개별입지,hq_elsewhere,본사 타지역: (주)고려금속(경상남도 마산시); (주)고려금속(경상남도 양산시),(주)고려금속[00627366] 경상남도 마산시 | (주)고려금속[00568036] 경상남도 양산시
c10273,(주)고려정밀,달성군,개별입지,hq_elsewhere,본사 타지역: 고려정밀(주)(경기도 수원시); (주)고려정밀(경상북도 칠곡군); 고려정밀(주)(광주광역시 광산구),고려정밀(주)[01101379] 경기도 수원시 | (주)고려정밀[01285893] 경상북도 칠곡군 | 고려정밀(주)[01082904] 광주광역시 광산구
c5157,(주)그린테크,북구,개별입지,hq_elsewhere,본사 타지역: 그린테크(주)(광주광역시 광산구),그린테크(주)[01294077] 광주광역시 광산구
c8801,(주)그림같은집,달성군,개별입지,hq_elsewhere,본사 타지역: (주)그림같은집(서울특별시 은평구),(주)그림같은집[01287095] 서울특별시 은평구
c8835,(주)대기공업,달성군,개별입지,hq_elsewhere,본사 타지역: (주)대기공업(경상남도 거제시),(주)대기공업[00454502] 경상남도 거제시
c2649,(주)대동테크,북구,개별입지,hq_elsewhere,본사 타지역: (주)대동테크(울산광역시 울주군),(주)대동테크[01258835] 울산광역시 울주군
c9031,(주)대림산업,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 대림산업(경상북도 성주군),주식회사 대림산업[01843961] 경상북도 성주군
c11098,(주)대영,군위군,개별입지,hq_elsewhere,본사 타지역: 주식회사 대영(경기도 안산시); (주)대영(서울특별시 중구); 주식회사 대영(충청북도 청주시),주식회사 대영[00172529] 경기도 안산시 | (주)대영[00111290] 서울특별시 중구 | 주식회사 대영[00252108] 충청북도 청주시 | (주) 대영[00228129] 경상북도 경주 | 주식회사 대영[01101476] 세종특별자치시 나리로 | 주식회사 대영[01140925] 경상북도 예천군 | 주식회사 대영[00976590] 울산광역시 남구 | 주식회사 대영[01468788] 인천광역시 중구
c10219,(주)대종,달성군,개별입지,hq_elsewhere,본사 타지역: (주)대종(충청북도 청주시),(주)대종[01376380] 충청북도 청주시
c2983,(주)동광테크,북구,개별입지,hq_elsewhere,본사 타지역: (주)동광테크(경기도 화성시),(주)동광테크[02024156] 경기도 화성시
c10220,(주)동방산업,달성군,개별입지,hq_elsewhere,본사 타지역: 동방산업(주)(경상북도 포항시); 동방산업(주)(강원도 평창군); 동방산업(주)(경기도 안양시),동방산업(주)[00192550] 경상북도 포항시 | 동방산업(주)[00409247] 강원도 평창군 | 동방산업(주)[01727478] 경기도 안양시
c8897,(주)동영,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 동영(경기도 구리시); 주식회사 동영(경기도 시흥시),주식회사 동영[00472906] 경기도 구리시 | 주식회사 동영[00238409] 경기도 시흥시
c0378,(주)동화인더스트리,동구,개별입지,hq_elsewhere,본사 타지역: (주)동화인더스트리(경상북도 경산시),(주)동화인더스트리[00932587] 경상북도 경산시
c9741,(주)두원테크,달성군,개별입지,hq_elsewhere,본사 타지역: (주)두원테크(인천광역시 남동구),(주)두원테크[00366535] 인천광역시 남동구
c5297,(주)디에스시스템,달서구,개별입지,hq_elsewhere,본사 타지역: (주)디에스시스템(경기도 포천시),(주)디에스시스템[01550627] 경기도 포천시
c10299,(주)디에스피,달성군,개별입지,hq_elsewhere,본사 타지역: (주)디에스피(경상북도 경산시); (주)디에스피(경상남도 창녕군); (주)디에스피(경상북도 경산시),(주)디에스피[00420602] 경상북도 경산시 | (주)디에스피[00527288] 경상남도 창녕군 | (주)디에스피[00452407] 경상북도 경산시 | 주식회사 디에스피[01457816] 광주광역시 광산구 | (주)디에스피[01227084] 인천광역시 서구 | (주)디에스피[00693262] 경상남도 김해시
c8837,(주)디엠에스,달성군,개별입지,hq_elsewhere,본사 타지역: (주)디엠에스(부산광역시 강서구); (주)디엠에스(경기도 여주시); 주식회사디엠에스(경상북도 경산시),(주)디엠에스[00919957] 부산광역시 강서구 | (주)디엠에스[01737341] 경기도 여주시 | 주식회사디엠에스[01730065] 경상북도 경산시
c10300,(주)디이에스,달성군,개별입지,hq_elsewhere,본사 타지역: (주)디이에스(경기도 화성시),(주)디이에스[01824355] 경기도 화성시
c0273,(주)디케이,동구,개별입지,hq_elsewhere,본사 타지역: (주)디케이(경상북도 경주시); 주식회사 디케이(경상남도 창원시); (주)디케이(경기도 양주시),(주)디케이[00556961] 경상북도 경주시 | 주식회사 디케이[00406143] 경상남도 창원시 | (주)디케이[01077230] 경기도 양주시 | 디케이 주식회사[00479121] 광주광역시 광산구 | 디케이주식회사[01229897] 경상남도 거제시 | 주식회사 디케이[01144277] 경상남도 합천군
c9585,(주)라움이엔씨,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 라움이엔씨(경기도 화성시),주식회사 라움이엔씨[01889644] 경기도 화성시
c8915,(주)리더스,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 리더스(전라남도 나주시); 주식회사 리더스(경기도 용인시); 주식회사 리더스(경기도 화성시),주식회사 리더스[01212994] 전라남도 나주시 | 주식회사 리더스[01294545] 경기도 용인시 | 주식회사 리더스[00673356] 경기도 화성시
c9066,(주)명성테크,달성군,개별입지,hq_elsewhere,본사 타지역: (주)명성테크(충청북도 청원군); 명성테크 주식회사(경상남도 거제시),(주)명성테크[00261993] 충청북도 청원군 | 명성테크 주식회사[01544352] 경상남도 거제시
c4304,(주)미디어테크,북구,개별입지,hq_elsewhere,본사 타지역: 주식회사 미디어테크(서울특별시 구로구),주식회사 미디어테크[01552652] 서울특별시 구로구
c11079,(주)민속한우,군위군,개별입지,hq_elsewhere,본사 타지역: 주식회사민속한우(경상북도 군위군),주식회사민속한우[00605337] 경상북도 군위군
c8904,(주)베스텍,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 베스텍(경상남도 밀양시); (주)베스텍(경기도 포천시); (주)베스텍(경기도 화성시),주식회사 베스텍[01451441] 경상남도 밀양시 | (주)베스텍[00529949] 경기도 포천시 | (주)베스텍[01225387] 경기도 화성시 | 베스텍주식회사[00895833] 경기도 시흥시 | (주)베스텍[01929809] 광주광역시 북구
c8956,(주)보다,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 보다(충청북도 청주시),주식회사 보다[01912915] 충청북도 청주시
c11091,(주)보성테크,군위군,개별입지,hq_elsewhere,본사 타지역: 보성테크(주)(경기도 평택시); 보성테크 주식회사(경기도 파주시),보성테크(주)[00528481] 경기도 평택시 | 보성테크 주식회사[01454749] 경기도 파주시
c0614,(주)비씨엠,서구,개별입지,hq_elsewhere,본사 타지역: 비씨엠주식회사(경상북도 구미시),비씨엠주식회사[00962339] 경상북도 구미시
c0174,(주)비케이전자,동구,개별입지,hq_elsewhere,본사 타지역: 비케이전자 주식회사(경기도 안양시),비케이전자 주식회사[01335772] 경기도 안양시
c9033,(주)삼일이엔씨,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 삼일이엔씨(경기도 화성시); 주식회사 삼일이엔씨(경기도 용인시),주식회사 삼일이엔씨[01223769] 경기도 화성시 | 주식회사 삼일이엔씨[01018972] 경기도 용인시
c9592,(주)삼화기업,달성군,개별입지,hq_elsewhere,본사 타지역: 삼화기업(주)(세종특별자치시 전동면); (주)삼화기업(충청북도 충주시),삼화기업(주)[00240723] 세종특별자치시 전동면 | (주)삼화기업[00921350] 충청북도 충주시
c0276,(주)서우,동구,개별입지,hq_elsewhere,본사 타지역: 서우(주)(경기도 용인시); 주식회사 서우(경기도 평택시); 주식회사서우(경상북도 칠곡군),서우(주)[00456616] 경기도 용인시 | 주식회사 서우[01689488] 경기도 평택시 | 주식회사서우[02039264] 경상북도 칠곡군
c0075,(주)세계로,중구,개별입지,hq_elsewhere,본사 타지역: (주)세계로(경기도 안성시); 주식회사 세계로(인천광역시 남동구); (주)세계로(전북특별자치도 익산시),(주)세계로[00873558] 경기도 안성시 | 주식회사 세계로[00614928] 인천광역시 남동구 | (주)세계로[02006187] 전북특별자치도 익산시
c11146,(주)세명,군위군,개별입지,hq_elsewhere,본사 타지역: 주식회사 세명(전라남도 나주시),주식회사 세명[01401376] 전라남도 나주시
c1857,(주)세명테크,서구,개별입지,hq_elsewhere,본사 타지역: (주)세명테크(경기도 광명시); (주)세명테크(충청남도 아산시),(주)세명테크[00368560] 경기도 광명시 | (주)세명테크[00831978] 충청남도 아산시
c4434,(주)세스트,북구,개별입지,hq_elsewhere,본사 타지역: 주식회사 세스트(경상북도 구미시),주식회사 세스트[00220330] 경상북도 구미시
c0626,(주)수양,서구,개별입지,hq_elsewhere,본사 타지역: (주)수양(경기도 의왕시),(주)수양[01920552] 경기도 의왕시
c0628,(주)신광전기,서구,개별입지,hq_elsewhere,본사 타지역: 신광전기주식회사(충청남도 아산시),신광전기주식회사[00135704] 충청남도 아산시
c8905,(주)신명,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 신명(전라북도 정읍시); (주)신명(부산광역시 해운대구); (주)신명(경기도 화성시),주식회사 신명[00397322] 전라북도 정읍시 | (주)신명[00973131] 부산광역시 해운대구 | (주)신명[01374771] 경기도 화성시 | (주)신명[00868033] 경기도 동두천시
c9999,(주)신우테크,달성군,개별입지,hq_elsewhere,본사 타지역: 주식회사 신우테크(충청남도 당진시); (주)신우테크(세종특별자치시 전의면); 주식회사 신우테크(경기도 화성시),주식회사 신우테크[01778463] 충청남도 당진시 | (주)신우테크[01213762] 세종특별자치시 전의면 | 주식회사 신우테크[01918821] 경기도 화성시
c3125,(주)신한,북구,개별입지,hq_elsewhere,본사 타지역: 주식회사 신한(충청남도 천안시); 주식회사 신한(경상남도 창원시); 주식회사 신한(경상남도 진주시),주식회사 신한[00224585] 충청남도 천안시 | 주식회사 신한[00529763] 경상남도 창원시 | 주식회사 신한[01169814] 경상남도 진주시 | 주식회사 신한[01258446] 전라남도 순천시 | 신한주식회사[02004091] 경기도 남양주시 | (주)신한[00173740] 경기도 성남시
c4536,(주)신행건설,북구,개별입지,hq_elsewhere,본사 타지역: (주) 신행건설(서울특별시 강남구),(주) 신행건설[01752207] 서울특별시 강남구
c0633,(주)씨에이치테크,서구,개별입지,hq_elsewhere,본사 타지역: (주)씨에이치테크(경기도 안양시),(주)씨에이치테크[00565288] 경기도 안양시
c11147,(주)아이앤지건설,군위군,개별입지,hq_elsewhere,본사 타지역: 아이앤지건설 주식회사(경기도 용인시); (주)아이앤지건설(광주광역시 서구),아이앤지건설 주식회사[00535904] 경기도 용인시 | (주)아이앤지건설[01219702] 광주광역시 서구
c0316,(주)아피스,동구,개별입지,hq_elsewhere,본사 타지역: 아피스주식회사(서울특별시 구로구),아피스주식회사[01398869] 서울특별시 구로구
