회사명,주소,업종,사업내용,종사자수,설립연도,태그,출처,기준월
더블유컴퍼니,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",데이터베이스 및 온라인정보제공업,디자인,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
아트라스콥코코리아,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",컴퓨터표면검사시스템,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
즐거운회사,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",응용 소프트웨어 개발 및 공급업,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
DGIST 글로벌캠퍼스,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",대학교,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
(주)에코인사이트글로벌 대구지점,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
(주)에스티에스로보테크,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",기타 공학 연구개발 / 직원 훈련기관,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
주식회사 자몽,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",모바일 게임 소프트웨어 개발 및 공급업,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
주식회사 인베타,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",응용 소프트웨어 개발 및 공급업,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
대경아이시티 협동조합,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",응용 소프트웨어 개발 및 공급업,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
브랜딩샵,"대구광역시 수성구 (수성알파시티 입주, 상세 주소는 목록에 없음)",시각 디자인업,,,,,수성알파시티 홈페이지 기업현황(alphacity.or.kr),2026-09
