회사명,주소,업종,사업내용,종사자수,설립연도,태그,출처,기준월
㈜프리클리나,대구 북구 칠곡중앙대로136길 90,"전문, 과학 및 기술 서비스업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜오대(구.오대금속),대구 달성군 논공읍 논공로 117길2,그 외 기타 의료용 기기  제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜심플스틱,대구 북구 중앙대로 612,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜오성하이텍,대구 동구 첨복로 89,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
동성제약㈜,대구 동구 첨복로 85,완제의약품제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜제이에스테크윈,대구 동구 첨복로 79-4,방사선 장치 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜세신정밀,대구 동구 첨복로 79-16,치과용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜플라즈맵,대구 동구 첨복로 102,그 외 기타 의료용 기기  제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜줌랩,대구 동구 첨복로 106,기타 공학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜올소테크,대구 동구 율암로 78,정형외과용 및 신체보정용 기기제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜로우템,대구 동구 첨복로 100-2,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜이노벡테크놀러지,대구 동구 율암로 133,평판디스플레이 제조용 기계 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜인트인(구.(주)종로의료기),대구 동구 첨복로 52,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜사이노슈어루트로닉테크놀로지,대구 동구 첨복로 56,의료기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
대우제약㈜,대구 동구 동내로 97,완제의약품제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜쎄텍,대구 동구 동내로 93,산업처리공정 제어장비 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
중소벤처기업공동연구센터(㈜인터네셔널 메디칼),대구 동구 동내로 76,부동산개발,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜이롭,대구 동구 동내로 66-21,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜엔도비전,대구 동구 동내로 66-26,"의료, 정밀 및 과학기기 도매업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜한국파마,대구 동구 동내로 66-20,완제의약품제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜레피오(구.(주)보원덴탈),대구 동구 동내로 66-24,치과용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜써지덴트,대구 동구 혁신대로 423-7,치과용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
오스젠㈜,대구 동구 혁신대로 423-13,정형외과용 및 신체보정용 기기제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜멘티스(구.멘티스로지텍),대구 동구 혁신대로 423-15,정형외과용 및 신체보정용 기기제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜인성메디칼,대구 동구 혁신대로 423-2,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜한림제약,대구 동구 혁신대로 423-14,완제의약품제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜유니메딕스,대구 동구 혁신대로 423-20,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜인코아,대구 동구 혁신대로 78길 11,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜아스트로젠,대구 동구 혁신대로 440,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
테슬론㈜,대구 동구 첨복로 101,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜성조파인세라믹,대구 동구 동내로 76,산업용 도자기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜메디와이어,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
이엠메디칼,대구 동구 동내로 76,의약품 도매업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜지티텍,대구 동구 동내로 76,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
한국OSG㈜,대구 동구 동내로 76,톱 및 호환성공구 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜마션팜,대구 동구 동내로 76,"기타 측정, 시험, 항해, 제어 및  정밀기기 제조업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜바이오리드,대구 동구 동내로 76,"물리, 화학 및 생물학 연구개발업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜인피니트헬스케어,대구 동구 동내로 76,시스템 소프트웨어 개발 및 공급업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜메디팁,대구 동구 동내로 76,경영컨설팅업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜포위즈시스템,대구 동구 동내로 76,컴퓨터시스템 통합 자문 및 구축 서비스업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜메디제이,대구 동구 동내로 76,그외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
엘에스웨어㈜,대구 동구 동내로 76,시스템 소프트웨어 개발 및  공급업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜비에스케이바이오,대구 동구 동내로 76,"의료, 정밀 및 과학기기 도매업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜가온기술,대구 동구 동내로 76,컴퓨터 프로그래밍 서비스업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜퍼비스코리아,대구 동구 동내로 76,"안경, 사진장비 및 광학용품 도매업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜스파인닥터스,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜솔라라이트,대구 동구 동내로 76,기타 반도체 소자 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜나노레이,대구 동구 동내로 76,치과용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜레이델코리아,대구 동구 동내로 76,건강기능식품 도소매,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜코넥스트,대구 동구 동내로 76,기초 의약 물질 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
올패스바이오,대구 동구 동내로 76,천연물 연구개발,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜바스플렉스,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜픽셀런트,대구 동구 동내로 76,비디오 및 기타 영상기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
