id,name,complex,district,eupmyeon,sector_code,sector,sector_group,product,workers_band,workers,reg_type,first_registered,mfg_area_band,address,sites,source,as_of,founded,tags
x0001,(주)와이엠에스에이,산단 외,수성구,,,침구 및 관련제품 제조업,기타 제조,,10~49명,14,,,,대구광역시 수성구 달구벌대로,1,국민연금 가입 사업장 내역 2026-07,2026-07,1988,
x0002,한국가스공사,산단 외,동구,,,연료용 가스 제조 및 배관공급업,화학·에너지,,300명 이상,4334,,,,대구광역시 동구 첨단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,1988,
x0003,한국지능정보사회진흥원,산단 외,동구,,,컴퓨터 시스템 통합 자문 및 구축 서비스업,소프트웨어·IT,,300명 이상,703,,,,대구광역시 동구 첨단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,1988,
x0004,(주))현대개발,산단 외,동구,,,유리 및 창호 공사업,기타 제조,,1~9명,5,,,,대구광역시 동구 화랑로108길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
x0005,코나모빌리티주식회사,산단 외,중구,,,그 외 기타 전기 통신업,전기·전자,,10~49명,41,,,,대구광역시 중구 달구벌대로,1,국민연금 가입 사업장 내역 2026-07,2026-07,1999,
x0006,(주)디지엔터테인먼트,산단 외,남구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,1~9명,9,,,,대구광역시 남구 명덕로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2000,
x0007,(주)디피아이솔루션스,산단 외,달서구,,,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,섬유·패션,,1~9명,4,,,,대구광역시 달서구 월곡로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2000,
x0008,티지바이오텍(주),산단 외,북구,,,기타 인문 및 사회과학 연구개발업,기타 서비스,,10~49명,13,,,,대구광역시 북구 경대로17길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2000,
x0009,(주)경복건설,산단 외,수성구,,,유리 및 창호 공사업,기타 제조,,1~9명,5,,,,대구광역시 수성구 용학로28길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2001,
x0010,(주)에이치디건설,산단 외,북구,,,유리 및 창호 공사업,기타 제조,,1~9명,3,,,,대구광역시 북구 동변로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2001,
x0011,주식회사 새벽,산단 외,북구,,,포장 공사업,기타 제조,,1~9명,4,,,,대구광역시 북구 검단로31길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
x0012,풍전기계(주),산단 외,달성군,,,금속 절삭기계 제조업,기계·금속,,1~9명,3,,,,대구광역시 달성군 하빈면 하산길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
x0013,주식회사성원정보기술,산단 외,달성군,,,배전반 및 전기 자동제어반 제조업,전기·전자,,1~9명,8,,,,대구광역시 달성군 다사읍 대실역남로2길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
x0014,(주)달성현대서비스,산단 외,달성군,,,자동차 종합 수리업,자동차·부품,,10~49명,27,,,,대구광역시 달성군 논공읍 비슬로350길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
x0015,(주)디엔비,산단 외,남구,,,의료 기기 도매업,의료·바이오,,1~9명,5,,,,대구광역시 남구 대봉로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2002,
