name,district,road_address,source,as_of
대구지식산업센터,북구,오봉로 164,기업 DB 주소에서 추출(팩토리온),2026-08
하림,남구,안골길 64,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
한길지식산업센터,달서구,달구벌대로 1130,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
일신테크노밸리,달서구,달서대로 555,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
이앤씨이노비즈타워,달서구,달서대로 559,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
(주)대진코스텍,달서구,달서대로 573,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
MJ테크노파크,달서구,달서대로109길 20,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
갤러리얀 지식산업센터,달서구,달서대로109안길 16,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
모다지식산업센터(주) (나동),달서구,달서대로91길 35,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
제봉뜰두류봉제지식산업센터,달서구,두류남9길 17,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
드림타워,달서구,상인로 14,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
성서드림타운,달서구,성서공단남로 37,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
대구테크노파크 성서캠퍼스T,달서구,성서공단로 46-17,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
(재)대구테크노파크,달서구,성서공단로11길 62,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
펜타플렉스 대구,달서구,성서공단로11길 63,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
비젼지식산업센터,달서구,성서공단로35길 42,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
뉴비젼 지식산업센터,달서구,성서공단로39길 27,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
(주)성서지식산업센터,달서구,성서로 229,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
동원비즈플랫폼,달서구,성서로 329,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
신월성 더 하이브,달서구,성서로36안길 42,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
월성아파트형공장,달서구,월성로 79,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
신기동 596번지,동구,안심로 188,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
EYE VIL,북구,3공단로 240,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
검단테크파트,북구,검단공단로 26,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
검단팩토리밸리,북구,검단로 135,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
진성인더스트리타운,북구,검단로31길 62,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
경북대학교 캠퍼스 혁신파크 도시첨단산업단지 HUB동,북구,대학로 80,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
대구광역시지식산업센터,북구,오봉로 166,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
디센터 1976,서구,와룡로 307,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
서대구산단 복합지식산업센터,서구,와룡로90길 41,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
대구범물아파트형공장,수성구,범안로 93,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
SW융합테크비즈센터,수성구,알파시티1로 160,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
태왕알파시티 수성 지식산업센터,수성구,알파시티1로42길 11,전국지식산업센터현황(전국지식산업센터현황_2025_06.csv),2026-09
