대구시 실국,부서,대구시 세부사업,대구시 2026(천원),대구시 2025(천원),출처,부처,국비 사업,코드,국비 2026(백만원),유사도,판정
미래혁신성장실,미래혁신정책관,혁신성장 지원,"4,000,502","3,481,440",ai,산업통상부,산업혁신인재성장지원(R&D),3161-315,201395,0.75,확인 필요
미래혁신성장실,미래혁신정책관,규제자유특구 혁신사업육성 플랫폼 지원(국가직접지원),"94,300","39,000",smba,중소벤처기업부,규제자유특구혁신사업육성 (R&D),3339-305,25101,0.9,확실
미래혁신성장실,미래혁신정책관,지역거점 AX 혁신 기술개발(국가직접지원),"8,502,000",0,ai,과학기술정보통신부,지역거점AX혁신 기술개발(R&D),4231-426,11020,1.0,확실
미래혁신성장실,미래혁신정책관,지역주력산업 육성(국가직접지원),"3,000,000","3,000,000",smba,중소벤처기업부,지역특화산업육성,3336-302,84681,0.75,확인 필요
미래혁신성장실,미래혁신정책관,중소기업 밀집지역 위기대응 체계 구축사업(국가직접지,"220,000","220,000",smba,중소벤처기업부,중소기업 밀집지역 위기대응 기반구축,3336-347,3793,0.82,확인 필요
미래혁신성장실,미래혁신정책관,대구 지역혁신 클러스터 육성(국가직접지원),"870,000","420,000",motie,산업통상부,지역혁신클러스터육성(R&D),3362-301,69947,0.91,확실
미래혁신성장실,미래모빌리티과,CAV기반 미래모빌리티 자율주행 평가플랫폼 구축(국가,"1,133,000","445,000",motie,산업통상부,CAV기반미래모빌리티자율주행평가플랫폼구축,3551-445,618,0.96,확실
미래혁신성장실,미래모빌리티과,SDV 전장부품 보안평가센터 구축(국가직접지원),"2,200,000","1,000,000",motie,산업통상부,SDV 전장부품 보안평가센터 구축,3551-468,4250,1.0,확실
미래혁신성장실,미래모빌리티과,실도로 인프라 연계 자율주행 오픈이노베이션 생태계,"947,000",0,motie,산업통상부,실도로인프라연계자율주행오픈이노베이션생태계구축,3551-494,3003,0.96,확실
미래혁신성장실,미래모빌리티과,서비스맞춤 모빌리티 산업혁신 생태계 구축사업(국가직,"1,750,000","369,000",motie,산업통상부,서비스 맞춤 모빌리티 산업 혁신 생태계 구축,3551-442,2900,0.9,확실
미래혁신성장실,미래모빌리티과,모빌리티 실제환경모사 전자파장애 평가시스템 구축(국,"1,842,000","1,066,000",motie,산업통상부,모빌리티실제환경모사전자파장애평가시스템구축,3551-416,3800,0.98,확실
미래혁신성장실,미래모빌리티과,미래모빌리티 확산,"84,300,326","57,513,060",motie,산업통상부,미래모빌리티확산제도기반지원,3551-324,530,0.9,확실
미래혁신성장실,미래모빌리티과,미래모빌리티 확산 지원,"84,300,326","57,513,060",motie,산업통상부,미래모빌리티확산제도기반지원,3551-324,530,0.83,확인 필요
미래혁신성장실,기계로봇과,메가시티협력 첨단산업 육성지원(R&D)(국가직접지원),"568,500",0,motie,산업통상부,메가시티협력첨단산업육성지원(R&D),3362-351,11276,1.0,확실
미래혁신성장실,기계로봇과,지역특화제조데이터 활성화 사업,"1,828,648",0,ai,중소벤처기업부,지역특화 제조데이터 활성화,2111-312,6000,0.92,확실
미래혁신성장실,기계로봇과,지역특화 제조데이터 활성화 지원(국가직접지원),"1,828,648",0,ai,중소벤처기업부,지역특화 제조데이터 활성화,2111-312,6000,0.92,확실
미래혁신성장실,의료산업과,의료데이터 중개 사업(국가직접지원),"513,000","259,000",ai,보건복지부,의료데이터 중심병원 지원사업,3039-311,19963,0.73,확인 필요
미래혁신성장실,의료산업과,규제자유특구 혁신사업육성(대구 이노-덴탈) (국가직접,"665,000","665,000",smba,중소벤처기업부,규제자유특구혁신사업육성 (R&D),3339-305,25101,0.9,확실
미래혁신성장실,의료산업과,의료산업 육성,"4,584,500","1,723,000",ai,보건복지부,한의약산업육성,3234-302,3802,0.77,확인 필요
미래혁신성장실,ABB산업과,AI기반 뇌발달질환 디지털 의료기기 실증지원(국가직접,"5,000,000","2,500,000",ai,과학기술정보통신부,AI 기반 뇌발달질환 디지털의료기기 실증지원,2601-405,5000,0.91,확실
미래혁신성장실,ABB산업과,제조업 AI융합 기반 조성(국가직접지원),"1,000,000","475,000",ai,과학기술정보통신부,제조업 AI 융합 기반 조성,2601-409,9875,1.0,확실
미래혁신성장실,ABB산업과,AI블록체인 산업 육성,"11,519,500","4,935,000",ai,과학기술정보통신부,AI산업육성,2602-301,20000,0.75,확인 필요
미래혁신성장실,ABB산업과,ABB 여성기업 육성 지원사업(국가직접지원),"100,000","100,000",smba,중소벤처기업부,여성기업육성,4234-302,11737,0.9,확실
미래혁신성장실,ABB산업과,데이터 개방 및 이용활성화,"210,720","314,700",ai,행정안전부,공공데이터개방및이용활성화지원(정보화),2046-502,40662,0.9,확실
미래혁신성장실,ABB산업과,데이터기반행정 운영,"9,680","113,400",ai,행정안전부,데이터기반행정활성화(정보화),2046-503,10478,0.74,확인 필요
미래혁신성장실,ABB산업과,공공데이터 이용 활성화 지원,"63,250","132,000",ai,행정안전부,공공데이터개방및이용활성화지원(정보화),2046-502,40662,0.89,확실
