no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source
1,감사원,감사지원관,전산운영경비(정보화),1134-309,일반회계,,,,감사원,해당 없음,,,16111,10300,"9,096 7,505 15,865 16,111 10,300","12,508|16,111|16,111|14,762|10,300|5,811|36",,,,,,20,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
2,개인정보보호위원회,,개인정보 안전활용 선도기술 개발(R & D ),1033-307,일반회계,,,,"개인정보보호위원회, 한국인터넷진흥원","정보주체(국민), 개인정보 보호·활용 기술 분야 기업·사업자 등",2026년 ~ 2028년(3년),,0,6138,"- - - - 6,138","6,138|6,138|6,138",,전국,,"- 「개인정보 보호·활용 기술 R&D 로드맵(’22-’26)」수립(’21.11.) - 개인정보보호위원회 R&D 사업 추진(‘22.~) * 개인정보보호 강화기술 연구개발(’22.~‘25.), 개인정보 기술표준 개발지원(’23.~‘25.), 신뢰기반의 AI 개인정보 보호․활용 기술개발(’25~‘27) - 개인정보위-KISA-개인정보 기술포럼「초거대 AI 시대, 개인정보 보호·활용 정책과 ‧ 기술 방향」민 관 합동 세미나(‘23.5) -「개인정보보호 기본계획(’24-’26)」발표(‘23.6) -「인공지능(AI) 시대 안전한 개인정보 활용 정책 방향」발표(‘23.8) -「비정형 데이터 포함 가명정보 처리 가이드라인」 개정(’24.2.) -「합성데이터 생성 참조모델」 발표(’24.5.), 「합성데이터 생성․활용 안내서」 발간(’24.12.) -「AI 프라이버시 리스크 관리 모델」 발간(’24.12.) - 32 -",,30,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
3,개인정보보호위원회,,신뢰기반의 AI 개인정보 보호· 활용 기술개발(R&D),1033-305,일반회계,,,,"개인정보보호위원회, 한국인터넷진흥원","정보주체(국민), 개인정보 보호·활용 기술 분야 기업·사업자 등",2025년 ~ 2027년(3년),,1500,2660,"- - - 1,500 2,660","1,500|1,500|2,660|2,660|1,160|77",,전국,,"-「개인정보 보호·활용 기술 R&D 로드맵(’22-’26)」수립(’21.11.) - 개인정보위-KISA-개인정보 기술포럼「초거대 AI 시대, 개인정보 보호·활용 정책과 ‧ 기술 방향」민 관 합동 세미나(‘23.5.) -「개인정보보호 기본계획(’24-’26)」발표(‘23.6.) -「인공지능(AI) 시대 안전한 개인정보 활용 정책 방향」발표(‘23.8.) - 개인정보보호 전문가(산·학·연) 대상 수요조사 및 신규과제 수요 발굴, AI에 대응한 개인정보보호 기술개발 기획(~’24.2.) - 산·학·연 전문가가 참여한 개인정보 보호·활용 기술개발 사전 기획위원회 등을 통해 기술개발 수요 도출 및 과제 발굴(’24.2.~3.) - 기술개발 과제 공모(’25.1.) 및 수행(’25.4.~) - 39 -",,37,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
4,개인정보보호위원회,,안전한 데이터 활용 지원,1032-302,일반회계,,,,"개인정보보호위원회, 한국인터넷진흥원",국민,2020년 ~ 계속,,3564,6456,"4,929 4,992 3,328 3,564 6,456","3,328|3,564|3,564|6,456|6,456|2,892|81",,전국,,"- ’20.02. ‧ 개인정보보호체계 일원화, 빅데이터 분석 이용의 법적근거 마련 - ’20.08. 데이터3법 개정에 따른 통합 개인정보보호위원회 출범 * ① 「개인정보보호법」, ②「정보통신망 이용촉진 및 정보보호 등에 관한 법률」, ③ 「신용정보의 이용 및 보호에 관한 법률」 - ’20.09. 가명정보 처리 가이드라인 재정 - ’20.11. 개인정보 가명처리 테스트베드 운영(기존 비식별 테스트베드 개선) - ’21.04. 제2차 데이터특위 안건 가명정보 활용 촉진 대책 * ① 과제1: 가명정보 결합 종합지원시스템 확대, ② 과제4: 가명처리 및 결합 바우처 지원사업 확대, ③ 과제8: 가명처리 신기술을 이용한 안전활용 촉진 - ’21.07. 강원 가명정보 활용지원센터 개소 및 가명처리 지원센터 기능확대(실습지원 → 실습 + 실무 지원) - ’21.10. 「가명정보의 결합 및 반출 등에 관한 고시」 개정 - ’22.01. 가명정보결합지원시스템 구축 - ’22.04. 가명정보 처리 가",,45,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
5,경찰청,범죄예방대응국,112시스템운영(정보화),,일반회계,,,,경찰청,국민,계속,해당없음,16186,21372,"25,092 22,613 19,521 16,186 21,372","112|19,471|16,186|16,186|20,916|21,372|5,186|32",,전국,,- ’57. 7. 112비상통화기 설치 / ’12. 5. 112종합상황실 직제 신설 - ’19. 2. 치안상황관리관실 신설 / ’20. 1. 시도청 위기관리 사무 이관 - ’21. 1. 자치경찰제 시행에 따른 지역경찰 사무 이관 - ’23. 2. 위기관리계 경비국으로 재이관 - ’24. 2. ･ 경찰청 범죄예방대응국 신설(치안상황 지역경찰운영 지역경찰역량) ･,,58,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
6,경찰청,미래치안정책국,경찰정보화기반고도화(정보화),,일반회계,,,,경찰청,"내부직원, 대국민",계속,해당없음,77006,78334,"65,912 62,726 63,374 77,006 78,334","62,509|77,006|77,006|78,334|78,334|1,328|1|25",,전국,,"- 정보화기술을 활용하여 치안행정 효율성을 제고하고, 국민들에게 양질의 치안서비스를 제공하기 위해 경찰업무와 관련된 각종 정보시스템을 구축･운영하기 위하여 ’96년 경찰 종합정보체제 구축을 시작으로 경찰정보화기반 고도화를 추진",,64,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
7,경찰청,미래치안정책국,과학기술 기반 군중밀집 관리 기술 개발(R&D),,일반회계,,,,과학치안진흥센터,"국민, 현장 경찰관, 지자체, 대학, 출연연, 기업 등",(당초) ’24~’27 ( 신속한 현장 적용을 위해 단축,,1976,1976,"- - 1,092 1,976 1,976","1,092|1,976|1,976|1,976|25|1,092|1,092|1,092",,전국,,"- ’22. 11. : 경찰청 인파관리 대책 수립 TF를 통해 신규 R&D 사업 기획 추진 ･ - (2023년) 행정안전부와 함께 사업을 추진하고자 사전 회의 개최, 사전 기획 - (2024년) 신규 과제 주관연구기관 선정 및 협약 체결 - (2025년) 2024년도 연구 수행 내용 컨설팅",,72,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
8,경찰청,형사국,과학수사시스템구축(정보화),,일반회계,,,,경찰청 형사국 과학수사심의관 ( 舊 과학수사관리관 ),全 국민,계속,,7990,4126,"2,399 1,920 10,407 7,990 4,126","10,353|7,990|7,990|4,126|4,126|3,864|48|10,407",,전국,,"- ’48. 11. 4. ･ ･ 경무국 감식과(법의학 이화학 지문계 )를 시작으로 객관적 증거에 기반한 유죄필벌( 有罪必罰 사회 구현을 위해 과학수사 역량 강화를 추진 ) - 최근 범죄의 지능화로 수사단서 확보에 난항, 일선 수사 경찰의 신속 정확한 범죄 수사에 ･ 필요한 과학수사 시스템 구축 및 고도화를 통한 수사 지원체계 구축",,78,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
9,경찰청,형사국,과학적 범죄수사 고도화 기술 개발(R&D),,일반회계,,,,과학치안진흥센터,"국민, 현장 경찰관, 대학, 출연연, 기업 등",’21~’28 / 사업비 365.93억(국고 365.93억원),,4529,3068,"6,661 8,081 7,476 4,529 3,068","7,476|4,529|3,068|3,068|1,461|32|25|7,476",,전국,,"- (2020년) 과학적 범죄수사 고도화 기술개발 사전 기획연구 실시 - (2021년) 신규 내역사업(4개) 착수 ① 융복합 지능형 감식 기술 DNA (’21~’25) ② 이동통신 악용 보이스피싱 대응기술 (’21~’24) ③ 기반 범죄수사 지원 AI (’21~’24) ④ 사업관리비 (’21~’23) - (2022년 신규 내역사업 개 착수 ) ① 법곤충 감정기법 데이터 구축 (1 ) / (’22~’26) - (2023년 내역사업 종료 개 ) ① 사업관리비 (1 ) / ※ 연구관리전문기관 변경에 따른 종료 : ’20~’23년 치안정책연구소, ’24년 이후 ( 재)과학치안진흥센터 - (2024년) 신규 내역사업(1개) 착수(’24. 9.) 및 내역사업 종료(2개) ① 신규 인공지능 기반 위해기체 고속 분석 플랫폼 구축 ( ) (’24~’28) ② 종료 이동통신 악용 보이스피싱 대응기술 ( ) (’21~’24) ③ 종료 기반 범죄수사 지원 ( ) AI (’21~’24) - (2025년) ",,84,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
10,경찰청,미래치안정책국,불법 마약류 대응을 위한 현장기술 개발(R&D),,일반회계,,,,과학치안진흥센터,"국민, 현장 경찰관, 대학, 출연연, 기업 등",(당초) ’24~’26 → 변경,,1500,4932,"- - 500 1,500 4,932","500|1,500|4,932|4,932|3,432|222|25|500",,전국,,- (2022 년) 마약 관련 R&D 추진 현황 분석 및 연구개발과제 아이템 발굴 - (2023 년) 마약 관계 부처와 R&D 수요 및 신규사업 참여 의사 타진 후 경찰청 관세청 ･ 신규사업 사전기획 착수 - (2024 년) 신규 과제 주관연구기관 선정 및 협약 체결,,93,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
