no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source,volume,source_url
1,산업통상부,,산업통상자원정책지원,7133-301,일반회계,,,,산업통상자원부,해당없음,~계속,해당없음,,,,,,,,- 10~12회계연도 19억원 예산규모 유지 - 13회계연도 예산규모는 전년대비 대비 약 1억원 삭감 - 14회계연도 예산규모는 전년대비 약 2.3억원 삭감 - 15∼18 회계연도 예산규모는 14회계연도 대비 비슷한 수준임 − 26 −,,28,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
2,산업통상부,,산업통상자원행정정보시스템구축(정보화),7131-501,일반회계,,,,산업통상자원부,국민 및 부내직원,‘01 ~ 계속,해당없음,,,,,,전국,,- ‘e-산자부 선언(‘00년도) - 산자부 중장기정보화추진전략 수립(’01) - 산업자원 지식행정체제 확대 중장기정보화추진계획 수립(’03) - 산업정보화 마스터플랜 수립(’05) - 산업자원 데이터웨어하우스 정보전략계획 수립(’06) - 산업자원부 정보기술아키텍처적용 기본계획 수립(’07) - 지식경제부 정보화전략 수립(’08) - 중장기 정보화계획 수립(’12) - 중장기 정보화전략계획 수립(’17),,36,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
3,산업통상부,정책기획관,행정능률향상 및 능력개발,7132-303,일반회계,,,,산업통상자원부,해당없음,‘05 ~ 계속,해당없음,,,,,,,,,,48,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
4,산업통상부,,사이버안전센터 구축운영,7142-317,일반회계,,,,산업통상자원부,산업통상자원부 유관기관(53개),해당없음,,,,,,,,,"- ’06.5월 국가사이버안전전략회의(의장 : 국가정보원장) 의결 * 기존의 국방, 금융, 행정, 통신, 안보분야 외에 국민생활과 밀접한 5개 핵심분야(에너지, 교통, 교육, 보건, 외교) 정보통신기반시설 보호를 위한 분야별 사이버안전센터 운영 결정 - ’07.12월 산업통상자원 사이버보안센터 운영규칙 제정(훈령 제128호) - ’08.07월 산업통상자원 사이버안전센터 개소 - ‘10.01월 산업통상자원 사이버안전센터 운영규칙 개정(훈령 제58호) - ‘12.02월 산업통상자원 사이버안전센터 운영규칙 개정(훈령 제91호) - ‘14.12월 산업통상자원 사이버안전센터 운영규칙 개정(훈령 제59호) - ‘16.08월 산업통상자원 사이버안전센터 운영규칙 개정(훈령 제102호) - ‘19.06월 산업통상자원 사이버안전센터 운영규칙 개정(훈령 제154호)",,64,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
1,산업통상부,,무역구제지원사업,1233-301,일반회계,,,,산업통상자원부 무역위원회 무역조사실,"국내 기업, 대학, 유관 협회 및 단체 등",’02∼계속,,,,,,,,,"- ’87년 무역위원회 설립(근거 : 대외무역법) * 가방 및 핸드백 원산지 위반·상표권 침해 조사 (1987.7.31. 최초 사건) - ’89∼’99년 무역구제 세미나 매년 개최(「무역구제 서울국제포럼」행사로 발전) - ’93년 반덤핑 조사 개시 결정권한을 재무부에서 무역위원회로 이관 - ’95년 반덤핑 및 보조금 제도 운용을 무역위원회로 일원화(덤핑·보조금 조사업무 관세청에서 이관) - ’00년 제1회 한·중 무역구제 협력회의 개최 및 제1회 대학(원)생 논문발표대회 개최 - ’01년「불공정무역행위조사법」제정, 제1회「무역구제 서울국제포럼」개최 - ’01년 무역구제 소식지 ‘무역구제’ 창간 - ’02년 산업경쟁력조사* 실시 * 미국 ITC의 개별산업 경쟁력조사 및 무역정책연구(美 관세법332조) 벤치마킹 - ’03 제1회 한·EU 무역구제협의회 개최 - ’05년 제1회 대학생 무역구제 경연대회 개최 - ’06년 무역구제포털시스템 구축 - ’07년 불공정무역행위 신고센터 개소(시계",,76,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
1,산업통상부,적합성정책국,신기술제품인증,3731-301,일반회계,,,,산업통상자원부 국가기술표준원,전 산업분야 인증업체 및 국민,‘95 ~ 계속,해당없음,,,,,,전국,,"◦ `95. 5.10 : 제15회 「신경제 추진회의」에서 기계류ㆍ부품ㆍ소재에 대한 품질인증 업무를 시행토록 결정 ◦ `04.11.25 : 각부처의 유사기술 및 제품인증에 대한 정부인증제도 통폐합(5개 부처, 7개 신기술 인증 업무를 신기술･신제품 인증으로 통합 정비) ◦ `06.10.30 : NEP제품 공공기관 의무구매 제도화(산업기술혁신촉진법 개정) ◦ ‘07.10.29 : 공공구매제도 주관부처를 산자부에서 기술표준원으로 변경 ◦ ‘08. 2.29 : 정보통신부에서 수행하던 IT분야 신제품(NEP)인증 업무 및 과기부의 신기술(NET)인증 업무를 기술표준원으로 이관 ◦ ‘11.10.6 : 산업융합촉진법에 근거, 융합신제품적합성인증제도 도입 ◦ ’16.2.17 : 제9차 무역투지진흥회의, 민간의 신산업 진출 촉진을 위한 신속 시장 진입지원체계로서 “융합신제품적합성인증센터” 구축 등 보고",,91,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
2,산업통상부,,국제표준활동지원,3731-302,일반회계,,,100,"산업통상자원부 국가기술표준원, 한국표준협회",전국민,‘02년～계속,해당없음,,,,,,전국,,"- ‘95년 WTO 출범에 따라, 자국의 기술표준을 국제표준으로 등록하여 세계시장 진출과 무역기술장벽에 대응하려는 세계 각국의 국제표준화 활동 강화 추세에 따라 우리나라도 이에 대응할 필요성 증대 - ‘02년부터 국내 국제표준화 활동 대응체계를 구축하고 주요 국제표준화기구(ISO, IEC) 정책위원회, 기술위원회 등 활동에 적극 참여하기 위해 동 사업을 추진 - ISOㆍIEC의 국제표준화는 회원국간 합의와 투표(1국 1투표권)로 진행되며, 기술 위원회(TC), 분과위원회(SC), 작업반(WG) 회의 각국 전문가가 참여와 논의를 거치는 장기간(3~5년)이 소요되어 국제표준의 제안 뿐만아니라, 회원국 간 협력도 중요 - 현 정부 출범에 따라 우리기술의 국제표준화를 기반으로 한 국가 산업경쟁력 증가에 대하여 중요성을 인식하고 국제표준화 활동을 국정과제의 일환으로 추진 * (국정과제 34-6) 미래시장 창출을 위한 국제표준ㆍ인증혁신 - ‘19.4월 「수소경제 표준화 전략 로드맵」과 ’19.",,104,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
3,산업통상부,,개도국표준체계보급지원(ODA),3731-303,일반회계,,,100,한국의류시험연구원 등(신규내역사업 공모 예정),"개발도상국 정부기관, 우리 수출기업 등",‘12～계속,해당 없음,,,,,,전국,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 - WTO 출범 이후, 자국의 기술표준을 국제표준으로 등록하여 무역기술장벽에 대응하 려는 세계 각국의 국제표준화활동 강화정책에 능동적으로 대응하기 위해 ‘02년부 터 추진된「국제표준화활동지원사업」의 일환으로 비정기적으로 개도국과 협력 사업을 진행 - 하지만 최근 개도국은 국가필수인프라의 표준인증체계의 부재로 불량제품 유통 등으로 인한 자국민의 안전문제가 발생하고, 무역활성화의 어려움을 겪고 있어, 표준 체계 확립을 위해 한국의 적극적인 지원을 요청하여 해외사업 확대 추진 * 우리 기업들도 개도국이 표준화, 적합성평가 등의 표준체계가 제대로 구축되지 않아 시장 진입․확대에 어려움 직면 - 또한, 동 사업은 2010년 12월 21일 발표한 ODA 선진화를 위한 5개년 기본계획 (2011~2015년 국제개발협력 기본계획)의 이행과 관련된 공익사업으로, ‘11년 기획재정부 에서 심의․승인되었고, 기재부의 요구의 따라 201",,121,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
4,산업통상부,,한국인인체치수조사보급사업,3731-304,일반회계,,,,산업통상자원부 국가기술표준원,"의류, 가구, IT서비스, 자동차, 웨어러블 디바이스 등 인체관련제품 기업",‘03년~계속,,,,,,,,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 ㅇ ‘79년부터 : 의류치수 규격 마련을 위해서 ’79년 처음으로 국민체위조사 실시한 이후 5~7년 주기로 4차례 측정 사업 수행 ㅇ ‘00년이후 : 생활수준 향상에 따른 급격한 체형변화로 최신의 인체치수 정보와 3 차원 인체형상 자료, 동적치수 정보 등 새롭고 다양한 인체치수 자료에 대한 산업계 요구 증가 − 135 − ㅇ ‘03~’04년 : 전국 남녀(0~70세이상) 2만여명에 대한 5차 한국인 인체치수조사 및 인체형상 측정 사업 실시 및 DB 구축 ㅇ ‘05~’09년 : ①한국인 인체정보 보급을 위한 홈페이지(sizekorea.kats.go.kr) 및 인체 표준정보실 개설과 관련 측정 정보 통계청으로부터 승인 통계로 지정 ②장애인에 대한 인체치수 측정 등 과거 측정사업에서 측정하지 못한 분야를 측정사업 지속 추진 및 한국인 인체정보의 산업계 활용을 위한 보급 사업 지속 추진 ㅇ ‘10~’14년 : 제6차 한국인",,136,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
5,산업통상부,,국제적합성평가기반구축,3731-306,일반회계,,,,"국가기술표준원(직접 수행), (재)한국인정지원센터, 한국계량측정","KOLAS(시험, 교정, 검사, 메디컬, 숙련도), KAS(제품인증제도), ISO 인증",계속 사업,해당 없음,,,,,,,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 ㅇ‘94년 이전 : 국내기업들이 BSI(영국표준협회), 로이드 선급협회 등 외국계 인증기관 으로부터 ISO 9000인증 획득 ㅇ‘94년 이후 : 「공산품 품질관리법」을 「품질경영촉진법」으로 개정, 법적 근거 마련 및 구축. 공업진흥청에서 ISO 9000인증 업무 수행 - ‘97.05. : ISO 9000인증 관련 업무 위탁(한국인정원, KAB) - ’00.09. : 국가표준기본법 제7조 규정에 따라「국가표준기본계획」수립 - ‘01.01. : ISO 9000인증 관련 업무 완전 이양(한국인정원) - ’02.03. : 국가시험능력 향상을 위한 종합계획 수립 및 시행 - ’03.12. : 신성장 산업의 국제표준화 5개년 계획 수립(장관 보고) - ’04.02. : “차세대성장동력 관련기술을 국제표준에 반영하여 시장 선점” 산자부 업무보고 - ’04.04. : 시험검사능력 고도화대책 수립 및 시행 - ’04.05. : 권역",,156,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료((1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf),(1권)_2021년_예산_사업설명자료(기획조정실_소속기관_국표원).pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf
