no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source,volume
1,중소벤처기업부,,신용보증기금출연,1231-881,일반회계,,,,신용보증기금,법인 및 개인기업,년 계속 ’76 ~,,100000,80000,"1,005,000 83,700 80,000 100,000 80,000","80,000|100,000|80,000|80,000|20,000|20|80,000|80,000",,,,"월 신용보증기금 창립 - ’76.6 : 월 기술보증기금 설치 - ’86.12 : 월 기술보증기금을 별도 법인으로 분리 - ’89.4 : 외환위기 극복을 위한 각종 특례보증제도 시행 - ’98 : 중소·중견기업 - ’03 : 보증 시행 P-CBO 금융위기 극복을 위한 보증총량 확대 및 각종 특례보증제도 시행 - ’09 : 회사채 시장 안정화를 위한 시장안정 - ’13 : 보증 시행 P-CBO 자동차부품산업 지원을 위한 자동차부품산업지원보증 시행 - ’19 : 코로나 피해 확산 방지 및 기업의 경영애로 해소와 금융시장안정 지원을 위해 - ’20 : 19 코로나 특례보증 소상공인 차 금융지원 코로나 피해 대응 보증 등을 시행 19 , 2 , 19 P-CBO 코로나 경제위기 대응 지속을 위해 코로나 위기극복 · 수출기업 · 버스업체 - ’21 : 19 19 · 코로나 연착륙 특례보증 등을 시행 19 코로나 피해 소상공인의 영업회복·경쟁력 제고를 위한 코로나 경제회복 - ’22 : 19 19",,41,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
2,중소벤처기업부,,기술보증기금출연,1231-882,일반회계,,,,기술보증기금,중소·벤처기업,년 계속 ’89 ~,,110000,60000,"112,000 - 20,000 110,000 60,000","20,000|40,000|110,000|90,000|60,000|50,000|45|20,000",,,,기술보증기금법 제정 월 : (‘86.12 ) - 36 - □ 주요내용,,47,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
3,중소벤처기업부,,매출채권보험계정출연,1232-301,일반회계,,,,신용보증기금,중소기업 및 평균 매출액 천억원 미만 중견기업,년 계속 ‘97 ~,,20000,27000,"55,000 35,000 - 20,000 27,000","20,000|20,000|40,000|27,000|7,000|35|20,000|20,000",,전국,,"월 약속어음 거래 안정화에 대한 지원 정책으로 어음보험 제도 개발⋅도입 - (’97. 4 ) 근거법 「소기업 및 소상공인 지원을 위한 특별조치법」 < : > 월 기업 간 신용 거래에 따른 연쇄도산 위험 방지 및 경영 불안 해소를 - (’04. 3 ) 위해 보험 가입 대상을 기존의 어음에서 외상매출금까지 확대하여 매출채권보험 도입 월 설치 근거법 이전 「중소기업진흥 및 제품구매촉진에 관한 법률」 및 - (’08. 3 ) ( ) 보험 가입 대상 확대 매출액 억원 이하 → 억원 이하 ( 150 300 ) 월 매출채권보험 가입 대상 기업을 종전 매출액 억원 이하에서 전체 - (’11. 7 ) 300 중소기업으로 확대하여 매출채권보험 이용 활성화 월 보험 관련 연관성이 적은 일부 업종 주류도매업 귀금속도매업 소매업 등 을 - (’15. 6 ) ( , , ) 제외한 전 업종으로 가입 대상 업종을 확대하여 보험 가입의 사각지대 해소 월 「중견기업법 시행령」개정 중견기업 진입후 년 내 조항 삭제 ",,53,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
4,중소벤처기업부,,ICT 융합스마트공장보급·확산,2111-303,일반회계,,,,중소기업기술정보진흥원 한국로봇산업진흥원 한국생산기술연구원,중소․중견기업,계속 ‘15~,,286923,402056,"346,637 167,091 219,054 286,923 402,056","219,054|236,076|286,923|436,556|402,056|115,133|40|219,054",,,,"전국상의 회장단 경제 단체장 간담회 에서 「제조업혁신 전략」발표 - ‘ ( 5 ) ’ 3.0 (‘14.6.26) -「제조업혁신 전략」의 핵심과제로 스마트공장 보급․확산 추진 3.0 제 차 무역투자진흥회의 에서 「제조업 혁신 전략 실행대책」발표 - ‘ 7 ’ 3.0 (‘15.3.19) 제 차 핵심개혁과제 점검회의 - ' 1 에서 상반기 추진상황 점검 (’15.6.25)’ 중소기업 정책간담회 에서「스마트 제조혁신비전 」발표 - ‘ ’ 2025 (‘17.4.20) 국정과제 - ( 차 산업혁명 대응을 위한 제조업 부흥 ) 38-1 4 (‘17.7.19) * ‘22년까지 스마트공장 2만개 보급․확산을 통한 제조기업 경쟁력 확보 및 고부가가치 일자리 창출 지원 - 중소기업정보화역량강화 세부사업에서 생산현장디지털화 내역사업 이관 (‘18) - 스마트공장 확산 및 고도화 전략 발표 차위 대한민국 혁신성장 보고대회 (4 , ‘18.3.8), VIP보고 중소기업 스마트 제조혁신 전략 발표 (‘18.5",,59,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
5,중소벤처기업부,,중소기업 스마트서비스 지원,2111-304,일반회계,,,,중소기업기술정보진흥원,중소기업,년 계속 ’20 ~,,10888,10888,"10,888 10,888 10,888 10,888 10,888","10,888|10,888|10,888|32,588|10,888|10,888|10,888|10,888",,전국,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , - 서비스산업 혁신 전략 관계부처 합동 경제활력대책회의 (‘19.6.26, , ) - 중소기업 스마트서비스 지원 사업 신설 년 (’20 ) - 「한국판 뉴딜」 종합 계획 관계부처 합동 (’20.7.14, ) - 서비스산업 코로나 대응 발전전략 관계부처 합동 19 (‘21.3.3, )",,74,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
6,중소벤처기업부,,데이터 인프라구축 정보화 ( ),2111-305,일반회계,,,,( ),국내 중소ㆍ중견기업,계속 ‘20 ~,,5836,5922,5,"6,900|5,836|5,836|7,400|5,922|86|1|6,900",,,,스마트공장 확산 및 고도화 전략 - (’18.3) 데이터 산업 활성화 전략 - (’18.6) 중소기업 스마트 제조혁신 전략 - (’18.12) 플랫폼 경제 추진성과 및 향후 확산 방안 - (’19.6) 한국판 뉴딜 - (’20.5) ‧데이터 기반 중소기업 제조혁신 고도화 전략 - AI (’20.7) 국정과제 중소기업 정책을 민간주도 혁신성장 의 관점에서 재설계 - ( ) 31 “ ” (’22.5.3) * ‘제조 디지털 전환 클라우드 플랫폼(DTaaS)’구축 및 스마트공장(미래형 선도 스마트공장 등) 추가보급 - ‘ 新 디지털 제조혁신 추진전략 발표 ’ (’23.9.18) - ‘ 스마트제조 혁신 생태계 고도화 방안 발표 ’ (’24.10.2) - ‘AI 기반 스마트제조혁신 전략 발표 3.0 ’ (‘25.10.24.),,80,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
7,중소벤처기업부,,혁신제품 지정사업,2111-308,일반회계,,,,중소기업기술정보진흥원,중소기업,년 계속 2021 ~,,400,400,"1,000 1,000 400 400 400",400|400|400|400|400|400|400|400,,전국,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , 년 정부혁신 종합추진계획에 새로운 가치를 창출·실현하는 공공구매 - (’19.2) ’19 ‘ 조달 혁신 을 신규 과제로 포함 ’ 혁신지향 공공조달 방안 관계부처 합동 보고 국무회의 - (’19.7) ’ ‘ ( ) * 중기부는 4대 추진전략 중 ‘혁신성 평가를 통한 구매 활성화’를 위해 ‘20년 우수연구개발 혁신제품 지정제도 시범추진 - (‘19.9) 우수연구개발 혁신제품에 대한 수의계약 절차 마련 기재부 고시 ( ) * 계약예규-정부입찰·계약 집행기준 ’제6장 우수연구개발 혁신제품에 대한 수의계약 절차’ * 「국가를 당사자로 하는 계약에 관한 법률 시행령」제26조제1항제5호사목 * 「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」제25조제1항제8호다목 - (’20.2) 중소벤처기업부 우수연구개발 혁신제품 지정지침 고시 제정 - (‘20.10) 혁신제품 수의계약 근거법령 개정 국가계약법→조달사업법 ( ) ",,87,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
8,중소벤처기업부,,지역특화 제조데이터 활성화,2111-312,일반회계,,,,중소기업기술정보진흥원,지역 중소·중견기업,년 계속 ‘22 ~,,6000,6000,"2,000 2,000 2,000 6,000 6,000","2,000|6,000|6,000|40,000|6,000|2,000|2,000|2,000",Y,지역지정,,"월 인공지능 국가전략 - (’19.12 ) ※ AI와 데이터를 기반으로 스마트공장 고도화 추진 - (‘20.7 월 ⋅데이터 기반 중소기업 제조혁신 고도화 전략 ) AI ※ 5G, 빅데이터, AI를 활용하여 제조혁신을 더욱 고도화 추진 월 지역특화 제조데이터 활성화 사업 신규 컨소시엄 경기 선정 - (’22.3 ) ( ) 월 지역특화 제조데이터 활성화 사업 신규컨소시엄 대구 울산 충북 선정 - (‘25.5 ) ( , , )",,93,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
9,중소벤처기업부,,기술혁신기반조성,2131-302,일반회계,,,,사 중소기업기술혁신협회 사 한국경영혁신중소기업협회,중소기업,계속 ‘01 ~,,16521,43366,5,"16,121|16,521|16,521|170,191|43,366|26,845|162|16,121",,전국,,"중소기업의 기술력이 국가 경쟁력의 핵심 요소로 등장함에 따라 일반 중소기업의 - , 기술혁신 선도를 위해 기술혁신형 중소기업의 발굴·육성 필요성 제기 ․ 년부터 선진국의 평가기법을 도입하여 기술혁신형 중소기업 육성사업 을 ’01 ‘ ’ , 년부터는 경영혁신형 중소기업 육성사업 을 추진 ‘06 ’ ‘ ․ 기술혁신대전은 혁신기술 및 신제품 전시 유공자 포상을 통한 중소기업의 기술 , 혁신 의욕 고취와 성과확산을 위하여 년부터 매년 개최 ’00 ․ 중소기업의 경영혁신을 촉진하기 위하여 중소기업 기술혁신촉진법 개정 (‘22.1.) 으로 경영혁신 우수사례 발굴 및 성과 확산 행사를 년부터 지원 ’23 - 90 -",,99,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
10,중소벤처기업부,,R&D 사업화 계정 출연,2131-306,일반회계,,,,기술보증기금,중소기업 공공연구기관,년 2026 ~,,0,50000,"- - - - 50,000","50,000|50,000|50,000|50,000|17,800|30,610|1,590|1",,전국,,"-그간 정부의 기술사업화 노력에도 불구 전용 금융기능 및 지원 인프라 부족으로 , 중소기업 사업화 성과가 수준으로 년간 50% 지속 5 (’19~‘23) -이에 자율성 높은 혁신 금융 기반 , 사업화 금융지원 도입 및 인프라 개선을 R&D 통해 정부 성과의 중소기업 활용 촉진을 위한 지원 필요 R&D * 국정과제 35-2번 ’R&D 사업화로 기업성장 촉진’ 관련 - 108 -",,118,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
