기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
(주)케이제이,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
한울농업회사법인(주),,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
성창주식회사,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
스마트솔루션,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
테스코 주식회사,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
가나이엔지(주),,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
에스제이앤텍,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
대신네트웍스(주),,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
에이엠씨주식회사,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(주)대정,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사아진,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(주)네오텍,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사한림기술,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
오션코리아,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(주)씨오알엔,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사 바론,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사 엠알이노베이션,,2025,국비,중소벤처기업부,지역기업 역량강화,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(재)대구테크노파크,,2025,국비,중소벤처기업부,(비R&D)지역주력산업육성,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(재)대구기계부품연구원,,2025,국비,중소벤처기업부,(비R&D)지역주력산업육성,R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사에이테크,,2025,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(주)토코스,,2025,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
주식회사 이엠에스,,2025,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
(주)휴컨,,2025,국비,중소벤처기업부,고경력연구인력채용지원(참여기업접수용),R&D,,,중소벤처기업부 중소기업기술개발과제정보(공공데이터포털),https://www.data.go.kr/data/3044610/fileData.do,20260831
