id,name,district,year,layer,funder,program,type,amount,amount_unit,source,source_url,as_of
c8692,화신,,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
,현대케미칼주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8550,현대제철주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 한국형수소환원제철실증기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8550,현대제철주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 조선해양산업핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8550,현대제철주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 자동차핵심부품용탄소배출저감특화철강판재기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8550,현대제철주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 북극항로개척을위한극지운항선박핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c8550,현대제철주식회사,,2026,국비,산업통상자원부,[IRIS 사업] 그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9822,현대모비스(주),,2026,국비,산업통상자원부,[IRIS 사업] 패키지형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9822,현대모비스(주),,2026,국비,산업통상자원부,[IRIS 사업] 전기자동차설계공정혁신CTC(CelltoChassis)배터리시스템플랫폼기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
c9822,현대모비스(주),,2026,국비,산업통상자원부,[IRIS 사업] 시스템반도체기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
